definition,word,modality,thisN,thisTrialN,thisRepN,prac_resp.keys,prac_resp.rt,prac_resp.duration,block,rating_response.keys,rating_response.rt,rating_response.duration,break_resp.keys,break_resp.rt,break_resp.duration,practice_rials.thisRepN,practice_rials.thisTrialN,practice_rials.thisN,practice_rials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,prac_instruction.started,text.started,key_resp_2.started,prac_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practice_trial.started,prac_visual.started,prac_icon.started,prac_audio.started,prac_audio.stopped,prac_visual.stopped,prac_icon.stopped,prac_resp.started,prac_rating_prompt.started,practice_trial.stopped,practice_rials.prac_resp.keys,practice_rials.prac_resp.rt,practice_rials.prac_resp.duration,main_task_start.started,orientation.started,key_resp.started,main_task_start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,visual_stimulus.started,auditory_icon.started,audio_stim.started,visual_stimulus.stopped,auditory_icon.stopped,audio_stim.stopped,rating_response.started,rating_prompt.started,trial.stopped,trials.rating_response.keys,trials.rating_response.rt,trials.rating_response.duration,Break.started,Break.stopped,trials.break_resp.keys,break_text.started,break_resp.started,trials.break_resp.rt,trials.break_resp.duration,End.started,end_text.started,end_key.started,End.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
A metal spider for paper,STAPLER,auditory,35,35,0,,,,2,1,0.5586187000008067,None,space,11.804729999996198,None,,,,,0,35,35,35,296.7879949999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.78609680000227,297.26484390000405,297.26484390000405,297.2713001666673,302.26401640000404,302.26401640000404,301.9543976999994,302.26401640000404,302.26401640000404,302.8246298000013,1,0.5586187000008067,None,302.8247455000019,314.64319120000437,space,302.8339956999989,302.8339956999989,11.804729999996198,None,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A polite thunderbolt,FLASH,visual,36,36,0,,,,3,2,0.5778708000070765,None,None,,,,,,,0,36,36,36,314.65738070000225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.65570899999875,315.1424784000046,315.1424784000046,315.1490657666693,320.14880200000334,320.14880200000334,320.14880200000334,320.14880200000334,320.14880200000334,320.73236120000365,2,0.5778708000070765,None,320.7324840000001,320.7325353999986,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A glass shoe for science,BEAKER,visual,37,37,0,,,,3,3,1.4034327999979723,None,None,,,,,,,0,37,37,37,320.74640910000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.7446706000046,321.2318549999982,321.2318549999982,321.2382784666663,326.2352746000033,326.2352746000033,326.2352746000033,326.2352746000033,326.2352746000033,327.6416176999992,3,1.4034327999979723,None,327.6417285999996,327.64177039999777,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A paper boat for money,WALLET,visual,38,38,0,,,,3,1,1.1795388999962597,None,None,,,,,,,0,38,38,38,327.6540152000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.65226319999783,328.14090820000274,328.14090820000274,328.14750136666794,333.14700129999983,333.14700129999983,333.14700129999983,333.14700129999983,333.14700129999983,334.33060079999996,1,1.1795388999962597,None,334.33071070000005,334.33075230000395,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A frozen river bridge,ICEBRIDGE,visual,39,39,0,,,,3,1,0.4005944000018644,None,None,,,,,,,0,39,39,39,334.345278300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.3437455000021,334.8302191999974,334.8302191999974,334.83679126666925,339.8382012000002,339.8382012000002,339.8382012000002,339.8382012000002,339.8382012000002,340.23985840000387,1,0.4005944000018644,None,340.239985799999,340.24003800000355,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A metal sunflower seed,NUT,visual,40,40,0,,,,3,5,1.2608697999967262,None,None,,,,,,,0,40,40,40,340.2531841000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.2516212000046,340.73930629999813,340.73930629999813,340.7458920666652,345.7456706000012,345.7456706000012,345.7456706000012,345.7456706000012,345.7456706000012,347.00905010000133,5,1.2608697999967262,None,347.0091786999983,347.0092263999977,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A sleepy ladder,STAIRS,visual,41,41,0,,,,3,1,0.2658649999939371,None,None,,,,,,,0,41,41,41,347.02276159999747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.0210969000036,347.5085151000021,347.5085151000021,347.51500016666637,352.51670100000047,352.51670100000047,352.51670100000047,352.51670100000047,352.51670100000047,352.78827060000185,1,0.2658649999939371,None,352.78839739999967,352.788446999999,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A sleepy paintbrush,MOP,visual,42,42,0,,,,3,2,1.403656199996476,None,None,,,,,,,0,42,42,42,352.8008797000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.79921950000426,353.28762409999763,353.28762409999763,353.29429236666715,358.2989290999976,358.2989290999976,358.2989290999976,358.2989290999976,358.2989290999976,359.7075396,2,1.403656199996476,None,359.7076784000019,359.70772820000275,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A wall with lungs,WINDOWSCREEN,visual,43,43,0,,,,3,4,0.6213512000031187,None,None,,,,,,,0,43,43,43,359.7210187000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.71921190000285,360.2069636000015,360.2069636000015,360.21365166666897,365.21720279999863,365.21720279999863,365.21720279999863,365.21720279999863,365.21720279999863,365.84687940000003,4,0.6213512000031187,None,365.84700560000056,365.84705560000293,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A pocket blizzard,TISSUE,visual,44,44,0,,,,3,2,2.265830000003916,None,None,,,,,,,0,44,44,44,365.8605650000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.8585602000021,366.3462658999997,366.3462658999997,366.3527819666672,371.35675540000375,371.35675540000375,371.35675540000375,371.35675540000375,371.35675540000375,373.62587789999816,2,2.265830000003916,None,373.6260027000026,373.6260498999982,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A book for recipes,COOKBOOK,visual,45,45,0,,,,3,3,1.471274399998947,None,None,,,,,,,0,45,45,45,373.63997940000263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.63816809999844,374.1253708000004,374.1253708000004,374.13185996666675,379.1353644999981,379.1353644999981,379.1353644999981,379.1353644999981,379.1353644999981,380.6152688000002,3,1.471274399998947,None,380.61540989999776,380.6154630000019,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A sleepless neighborhood rooster,SIREN,visual,46,46,0,,,,3,4,1.1725434999971185,None,None,,,,,,,0,46,46,46,380.6310014999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.62926490000245,381.1144229999991,381.1144229999991,381.12100816666884,386.1220687000023,386.1220687000023,386.1220687000023,386.1220687000023,386.1220687000023,387.3038383000021,4,1.1725434999971185,None,387.3039484000037,387.30399330000364,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A polite mirror for time,WATCH,visual,47,47,0,,,,3,5,1.4608078000019304,None,None,,,,,,,0,47,47,47,387.31598269999813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.3144788999998,387.8034430999978,387.8034430999978,387.8101108666708,392.8099616000036,392.8099616000036,392.8099616000036,392.8099616000036,392.8099616000036,394.27320699999837,5,1.4608078000019304,None,394.2733307000017,394.27337709999847,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A rock pillow,BOULDER,visual,48,48,0,,,,3,2,0.958817500002624,None,None,,,,,,,0,48,48,48,394.2861038999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.2844710999998,394.7724675999998,394.7724675999998,394.7790907666679,399.7758018000022,399.7758018000022,399.7758018000022,399.7758018000022,399.7758018000022,400.7422824000023,2,0.958817500002624,None,400.7423987000002,400.7424441999974,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A glass ladder for drinking,STRAW,visual,49,49,0,,,,3,1,1.3467302000062773,None,None,,,,,,,0,49,49,49,400.7571085000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.75538020000386,401.24177580000105,401.24177580000105,401.24840006667023,406.24386159999995,406.24386159999995,406.24386159999995,406.24386159999995,406.24386159999995,407.5914933000022,1,1.3467302000062773,None,407.59162070000457,407.5916681000017,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A polite cage for books,BOOKCASE,visual,50,50,0,,,,3,2,1.4600416999965091,None,None,,,,,,,0,50,50,50,407.60467960000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.6029017000037,408.0906423999986,408.0906423999986,408.0976287666674,413.0987187999999,413.0987187999999,413.0987187999999,413.0987187999999,413.0987187999999,414.56097600000066,2,1.4600416999965091,None,414.561114600001,414.5611638000046,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A striped escape artist,ZEBRA,visual,51,51,0,,,,3,5,2.128804799998761,None,None,,,,,,,0,51,51,51,414.57635850000224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.5747607000012,415.0599244999976,415.0599244999976,415.0664606666653,420.0701610000033,420.0701610000033,420.0701610000033,420.0701610000033,420.0701610000033,422.20982450000156,5,2.128804799998761,None,422.20995409999887,422.21019109999907,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A portable shadow maker,UMBRELLA,visual,52,52,0,,,,3,5,0.450579900003504,None,None,,,,,,,0,52,52,52,422.22706520000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.22548539999843,422.7090160000007,422.7090160000007,422.7155117666664,427.71632330000284,427.71632330000284,427.71632330000284,427.71632330000284,427.71632330000284,428.1688127000016,5,0.450579900003504,None,428.1689583999978,428.1690086000017,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A sleepy computer,SERVER,visual,53,53,0,,,,3,3,0.6027488999970956,None,space,8.925111299999116,None,,,,,0,53,53,53,428.1819331000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.1803299000021,428.6681227000008,428.6681227000008,428.6747752666672,433.67603200000303,433.67603200000303,433.67603200000303,433.67603200000303,433.67603200000303,434.2879993000024,3,0.6027488999970956,None,434.2881209999978,443.22682429999986,space,434.2975121999989,434.2975121999989,8.925111299999116,None,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A book with teeth,ZIPPER,auditory,54,54,0,,,,4,4,0.792931399999361,None,None,,,,,,,0,54,54,54,443.25123970000277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.2492521000022,443.72625929999776,443.72625929999776,443.7328878666706,448.72564180000336,448.72564180000336,447.78571119999833,448.72564180000336,448.72564180000336,449.5262217999989,4,0.792931399999361,None,449.52635369999916,449.5264057000022,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A sky leash,KITE,auditory,55,55,0,,,,4,2,1.1820060999962152,None,None,,,,,,,0,55,55,55,449.5691625000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.56701769999927,450.0256156000032,450.0256156000032,450.0320253666689,455.02477440000075,455.02477440000075,453.90507490000164,455.02477440000075,455.02477440000075,456.21526019999874,2,1.1820060999962152,None,456.215406000003,456.21545830000105,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A metal pillow for ships,DOCK,auditory,56,56,0,,,,4,4,0.5011354000016581,None,None,,,,,,,0,56,56,56,456.2435103000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.24090720000095,456.71468650000315,456.71468650000315,456.72135096666557,461.71398880000197,461.71398880000197,461.0940905000025,461.71398880000197,461.71398880000197,462.2246454999986,4,0.5011354000016581,None,462.22477349999826,462.224824500001,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A metal butterfly,CLIP,auditory,57,57,0,,,,4,5,0.4834169999958249,None,None,,,,,,,0,57,57,57,462.2762157000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.27427880000323,462.72396350000054,462.72396350000054,462.7303993666685,467.72329210000316,467.72329210000316,466.78604630000336,467.72329210000316,467.72329210000316,468.2137492000038,5,0.4834169999958249,None,468.21387839999807,468.2139301999996,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A polite prison for tea,TEAPOT,auditory,58,58,0,,,,4,4,0.7262786999999662,None,None,,,,,,,0,58,58,58,468.2564110000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.2543924999991,468.71324150000146,468.71324150000146,468.7197005666642,473.71238730000186,473.71238730000186,473.282693000001,473.71238730000186,473.71238730000186,474.4428889000046,4,0.7262786999999662,None,474.4429966000025,474.443039400001,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A paper road,MAP,auditory,59,59,0,,,,4,1,0.6970370000053663,None,None,,,,,,,0,59,59,59,474.48223000000144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.4802523000035,474.942546899998,474.942546899998,474.9489364666699,479.94177160000254,479.94177160000254,478.9320899000013,479.94177160000254,479.94177160000254,480.64251779999904,1,0.6970370000053663,None,480.64264350000303,480.6426896999983,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A pocket desert,SAND,auditory,60,60,0,,,,4,2,0.9217225999964285,None,None,,,,,,,0,60,60,60,480.68670810000185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.68455299999914,481.14179149999836,481.14179149999836,481.1480825666697,486.1409550000026,486.1409550000026,485.3711648000026,486.1409550000026,486.1409550000026,487.0714842000016,2,0.9217225999964285,None,487.07160970000405,487.071660900001,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A portable cave,BOX,auditory,61,61,0,,,,4,3,1.3808799000034924,None,None,,,,,,,0,61,61,61,487.114021100002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.11186550000275,487.570988200001,487.570988200001,487.57762236666554,492.5702706000011,492.5702706000011,491.7103519000011,492.5702706000011,492.5702706000011,493.96074310000404,3,1.3808799000034924,None,493.96085440000024,493.96089660000143,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A pocket rainbow,CRAYON,auditory,62,62,0,,,,4,4,0.9711453999989317,None,None,,,,,,,0,62,62,62,493.98599549999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.98403939999844,494.4600788000025,494.4600788000025,494.4664877666694,499.459623499999,499.459623499999,498.66930290000164,499.459623499999,499.459623499999,500.43994660000317,4,0.9711453999989317,None,500.4400588999997,500.4401035000046,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A polite cage for hands,GLOVE,auditory,63,63,0,,,,4,1,1.2759192000012263,None,None,,,,,,,0,63,63,63,500.4636260999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.46191980000003,500.9394766000041,500.9394766000041,500.94591486666855,505.93864439999743,505.93864439999743,505.55326320000313,505.93864439999743,505.93864439999743,507.21888330000365,1,1.2759192000012263,None,507.2190388000017,507.2190952000019,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A pocket tornado,FAN,auditory,64,64,0,,,,4,4,0.25694020000082674,None,None,,,,,,,0,64,64,64,507.2443549000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.24239220000163,507.71833160000097,507.71833160000097,507.72487986666624,512.7175951000027,512.7175951000027,512.017577300001,512.7175951000027,512.7175951000027,512.9779022000002,4,0.25694020000082674,None,512.9780027000015,512.9780417000002,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A sun-powered eye,SOLARPANEL,auditory,65,65,0,,,,4,5,0.30570340000122087,None,None,,,,,,,0,65,65,65,513.0244825000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.0224826999984,513.4775043000045,513.4775043000045,513.484061366664,518.4768595999994,518.4768595999994,517.9769041000036,518.4768595999994,518.4768595999994,518.7871945000006,5,0.30570340000122087,None,518.7873020000043,518.7873439000032,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A paper airplane graveyard,TRASHCAN,auditory,66,66,0,,,,4,4,0.6644200000009732,None,None,,,,,,,0,66,66,66,518.8348454000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.8327389000042,519.2867578000005,519.2867578000005,519.2933764666707,524.2861295000039,524.2861295000039,524.2662109000012,524.2861295000039,524.2861295000039,524.9564728999976,4,0.6644200000009732,None,524.9565715999997,524.9566095000046,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A glass pillow,LENS,auditory,67,67,0,,,,4,3,2.135410100003355,None,None,,,,,,,0,67,67,67,524.9931297000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.990961800002,525.4560620999982,525.4560620999982,525.4625337666696,530.4552203999992,530.4552203999992,529.4957515999995,530.4552203999992,530.4552203999992,532.595642100001,3,2.135410100003355,None,532.5957496999981,532.5957905000032,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A polite cage for light,LAMPSHADE,auditory,68,68,0,,,,4,2,1.7125215000050957,None,None,,,,,,,0,68,68,68,532.6403496999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.6383128000016,533.0950892000037,533.0950892000037,533.1015696666693,538.0942800999983,538.0942800999983,537.8275619999986,538.0942800999983,538.0942800999983,539.8147237000012,2,1.7125215000050957,None,539.8148466999992,539.8148969000031,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A sleepy spotlight,MOON,auditory,69,69,0,,,,4,4,0.5415171999993618,None,None,,,,,,,0,69,69,69,539.855021299998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.8530690000043,540.3141305000026,540.3141305000026,540.3207551666676,545.3134044000035,545.3134044000035,544.4738030000008,545.3134044000035,545.3134044000035,545.8640033999982,4,0.5415171999993618,None,545.8640654999981,545.8640873999975,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A rainproof shell on legs,TURTLE,auditory,70,70,0,,,,4,5,3.1003450999996858,None,None,,,,,,,0,70,70,70,545.8838407000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.8815078000043,546.3633603999988,546.3633603999988,546.3699985666647,551.3626917000001,551.3626917000001,550.982809000001,551.3626917000001,551.3626917000001,554.4728153000033,5,3.1003450999996858,None,554.4729198999994,554.472960500003,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A metal shoebox for wheels,GARAGE,auditory,71,71,0,,,,4,3,3.739638899998681,None,None,,,,,,,0,71,71,71,554.5200865000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.5181322999997,554.9723069000029,554.9723069000029,554.9788300666662,559.9715254000039,559.9715254000039,559.7616878999979,559.9715254000039,559.9715254000039,563.7119989999992,3,3.739638899998681,None,563.7121215000006,563.7121640999976,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.7123417999974,563.7212344,563.7212344,568.2213888000042,space,4.493260100003681,None,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
